contrast,age,cases,noncases,recorded_exposed_cases,recorded_exposed_noncases,crude_rr,exposure_prevalence_cases,exposure_prevalence_noncases,required_sensitivity_ratio_cases_to_noncases,interpretation
prepregnancy,21,82756,917965,7076,89837,0.872,0.0855,0.09787,0.8737,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,22,94575,1058135,7969,102893,0.8647,0.08426,0.09724,0.8665,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,23,104912,1170707,8561,110909,0.8599,0.0816,0.09474,0.8614,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,24,113983,1280633,9017,116635,0.8675,0.07911,0.09108,0.8686,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,25,124430,1395605,9419,121325,0.8702,0.0757,0.08693,0.8707,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,26,133634,1500129,9868,122214,0.9065,0.07384,0.08147,0.9064,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,27,141360,1597216,10006,121104,0.9339,0.07078,0.07582,0.9336,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,28,148322,1684876,10053,117075,0.9757,0.06778,0.06949,0.9754,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,29,152731,1745437,10159,110311,1.0515,0.06652,0.0632,1.0525,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,30,154218,1764910,9770,102007,1.0936,0.06335,0.0578,1.0961,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,31,152511,1759251,9364,92847,1.1581,0.0614,0.05278,1.1634,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,32,145443,1675691,8743,83185,1.2031,0.06011,0.04964,1.2109,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,33,135422,1550438,8144,73374,1.2593,0.06014,0.04732,1.2708,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,34,124726,1401287,7440,63430,1.3025,0.05965,0.04527,1.3178,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,35,110286,1225986,6528,53373,1.3406,0.05919,0.04353,1.3596,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,36,94808,1021134,5751,44647,1.3653,0.06066,0.04372,1.3874,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,37,78891,813520,4722,34921,1.3695,0.05985,0.04293,1.3944,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,38,63757,631788,3891,26551,1.42,0.06103,0.04203,1.4522,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,39,50833,481044,3033,19855,1.4111,0.05967,0.04127,1.4456,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,40,37829,341751,2204,13680,1.4166,0.05826,0.04003,1.4555,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,41,26372,231421,1496,8889,1.4327,0.05673,0.03841,1.4769,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,42,17877,146832,972,5274,1.4587,0.05437,0.03592,1.5137,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,43,11143,86542,499,2779,1.3502,0.04478,0.03211,1.3946,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,44,6534,47652,298,1410,1.4682,0.04561,0.02959,1.5413,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,45,3618,25217,102,602,1.1592,0.02819,0.02387,1.1809,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
